tic,name,ra,dec,tmag,ctl,sector 
411515858,2MASS J00233468+2014282,5.894432395,20.2413195692,9.338,-1,-1 
425940082,2MASS J00345120-6154583,8.71334162728,-61.9161471606,8.297,-1,-1 
266011945,2MASS J00501752+0837341,12.57298284,8.62616759271,11.497,-1,-1 
414920940,2MASS J01001613+1251007,15.0672113,12.8501367,10.436,-1,-1 
150987199,2MASS J01373940+1835332,24.414208,18.592572,8.81,-1,-1 
115379421,2MASS J01540267-4040440,28.5112127071,-40.6789499376,10.862,-1,-1 
36831336,2MASS J02490228-1029220,42.25941,-10.48968,10.402,-1,-1 
317554312,2MASS J03451450+5615353,56.3104687309,56.259728926,10.37,-1,-1 
84336822,2MASS J03520223+2439479,58.009257276,24.6632472232,10.799,-1,-1 
44791149,2MASS J04071148-2918342,61.7981013311,-29.3095158486,10.387,-1,-1 
454118026,2MASS J04174964+0011455,64.4568620661,0.196019497092,10.715,-1,-1 
71011307,2MASS J04214271-1657543,65.4280813013,-16.965173979,11.206,-1,-1 
121638498,2MASS J04412079-1947356,70.336578536,-19.7932318539,10.774,-1,-1 
156364508,2MASS J04435686+3723033,70.986954369,37.3842670345,11.102,-1,-1 
187390410,2MASS J04522204+4006347,73.091897285,40.1096480696,10.705,-1,-1 
65915460,2MASS J04580897+4333010,74.5374168008,43.5502857425,10.568,-1,-1 
389167885,2MASS J05004928+1527006,75.2053507409,15.4501940455,9.491,-1,-1 
381949245,2MASS J05053647-5755359,76.4020075457,-57.9266265049,10.248,-1,-1 
77959676,2MASS J05182904-3001321,79.6210336492,-30.0256011827,10.246,-1,-1 
54006139,2MASS J05214684+2400444,80.4451572426,24.0123481104,9.514,-1,-1 
313140177,2MASS J05234246+0651581,80.9269319765,6.86619281963,11.052,-1,-1 
19564279,2MASS J05363633+2139330,84.1513904371,21.6592046578,10.835,-1,-1 
323347748,2MASS J05374649+0231264,84.4437600957,2.52401837929,9.889,-1,-1 
158820278,2MASS J05500858+0511536,87.5357673726,5.19824480786,10.647,-1,-1 
308542808,2MASS J08040534-6316396,121.022082213,-63.2775306862,11.392,-1,-1 
355158376,2MASS J08410608-6216063,130.275361,-62.268444,11.125,-1,-1 
323350241,2MASS J08443188-7846311,131.132891083,-78.775317328,10.81,-1,-1 
453363533,2MASS J09595765-7221472,149.990205564,-72.3631205238,10.426,-1,-1 
105710145,2MASS J10260210-4105537,156.50877394,-41.0982938577,10.594,-1,-1 
307257778,2MASS J11594608-6101132,179.942002523,-61.0203444601,10.228,-1,-1 
180258068,2MASS J12000160-1731308,180.006617761,-17.5252399066,11.061,-1,-1 
142173958,2MASS J12002750-3405371,180.114597473,-34.0936592875,11.397,-1,-1 
307689785,2MASS J12003688-6337055,180.153688368,-63.61822714,10.538,-1,-1 
382288432,2MASS J12124890-6230317,183.203675,-62.508886,9.95,-1,-1 
359641042,2MASS J12164593-7753333,184.191394545,-77.8926284779,11.637,-1,-1 
411614400,2MASS J12220147-5737565,185.506134,-57.63237,10.695,-1,-1 
21107353,2MASS J12264842-5215070,186.701809634,-52.2520095114,10.215,-1,-1 
360154672,2MASS J12281909-7306346,187.079563,-73.109627,10.684,-1,-1 
411806442,2MASS J12383556-5916438,189.648171802,-59.2788672073,10.434,-1,-1 
434467731,2MASS J12445897-6026409,191.245756821,-60.4447150946,10.0,-1,-1 
243237647,2MASS J13343188-4209305,203.63286584,-42.158524635,9.524,-1,-1 
203364491,2MASS J13390189-2141278,204.757893675,-21.6910502235,12.19,-1,-1 
429506618,2MASS J13493313-6818291,207.38808,-68.30809,11.033,-1,-1 
432231570,2MASS J15093920-1332119,227.413332774,-13.5366765882,11.512,-1,-1 
460323913,2MASS J15202415-3037317,230.100638425,-30.6254706519,9.857,-1,-1 
7733958,2MASS J15354856-2958551,233.952354,-29.981994,12.021,-1,-1 
290639570,2MASS J15443518+0423075,236.146610119,4.38548990603,11.065,-1,-1 
254612822,2MASS J15451903-4431361,236.32933,-44.526722,11.175,-1,-1 
59017926,2MASS J15594951-3628279,239.956294584,-36.4744177637,9.869,-1,-1 
49878223,2MASS J16082845-0607345,242.118599603,-6.12625048636,11.219,-1,-1 
287825213,2MASS J16430128-1754274,250.755395097,-17.9076423839,10.691,-1,-1 
270831625,2MASS J16455062+0343014,251.460949644,3.7170958378,10.526,-1,-1 
33207345,2MASS J16521087-3359333,253.045304,-33.992596,10.398,-1,-1 
76146454,2MASS J17213497-2152283,260.395734,-21.874529,11.672,-1,-1 
396969225,2MASS J17513421-4854558,267.892582,-48.91552,10.869,-1,-1 
130767350,2MASS J17520173-2357571,268.00723113,-23.9658953013,10.656,-1,-1 
134893921,2MASS J17563029-2448128,269.126248,-24.803577,11.171,-1,-1 
278953942,2MASS J23093711-0225551,347.404709228,-2.43201260161,9.546,-1,-1 
